district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,house_age
Mannar,Mannar Central,14,3,2,142,2,True,False,Both,Single phase,2,2020,11930576,6
Vavuniya,Vavuniya Central,6,3,2,35,1,False,True,Pipe-borne,Single phase,2,1992,6486584,34
Batticaloa,Batticaloa Town,15,6,5,138,2,False,False,Well,Single phase,2,1993,15839228,33
Batticaloa,Batticaloa Town,14,5,4,177,3,True,False,Both,Single phase,3,1986,19868246,40
Monaragala,Monaragala Central,7,3,2,48,1,False,False,Well,Three phase,1,2024,5934146,2
Vavuniya,Vavuniya Central,17,4,3,149,2,True,False,Both,Three phase,2,1993,16677718,33
Kalutara,Beruwala,2,2,1,48,1,False,False,Pipe-borne,Three phase,2,1996,4688992,30
Puttalam,Puttalam Central,3,2,1,35,1,True,False,Well,Three phase,1,2025,5067018,1
Ampara,Ampara Central,14,3,2,93,2,True,True,Well,Three phase,1,2000,11070317,26
Galle,Karapitiya,22,6,5,150,1,True,True,Pipe-borne,Single phase,1,2010,26255971,16
Mannar,Mannar Central,5,3,2,40,0,True,True,Both,Single phase,1,1988,3201646,38
Mannar,Mannar Central,21,6,5,239,1,True,False,Well,Single phase,2,2019,22413649,7
Polonnaruwa,Polonnaruwa Central,19,5,4,120,1,True,False,Pipe-borne,Three phase,2,2002,14898781,24
Matale,Matale Central,4,3,2,48,2,True,False,Both,Three phase,2,2022,5089116,4
Kurunegala,Kurunegala Town,28,5,5,250,2,False,False,Pipe-borne,Three phase,2,1993,30886626,33
Mullaitivu,Mullaitivu Central,5,2,1,61,0,True,True,Well,Single phase,2,2020,5594869,6
Colombo,Dehiwala,10,4,4,93,0,False,False,Pipe-borne,Single phase,1,2007,28532517,19
Batticaloa,Kallady,7,3,3,80,0,True,True,Pipe-borne,Three phase,2,1985,9543017,41
Kurunegala,Melsiripura,7,2,1,58,0,False,True,Well,Three phase,2,1985,7533147,41
Monaragala,Monaragala Central,4,3,3,35,1,True,True,Well,Three phase,1,1996,4008030,30
Mullaitivu,Mullaitivu Central,11,4,3,66,0,True,False,Well,Three phase,1,2005,7879591,21
Colombo,Narahenpita,8,4,3,92,1,False,False,Pipe-borne,Single phase,2,2003,21629058,23
Colombo,Rajagiriya,2,1,1,35,0,False,False,Well,Single phase,1,2002,7266039,24
Ampara,Ampara Central,4,3,3,49,0,False,False,Both,Single phase,2,2004,4244326,22
Kegalle,Kegalle Central,2,3,2,50,0,True,False,Well,Three phase,1,1995,3485337,31
Trincomalee,Nilaveli,2,3,3,50,1,False,False,Both,Single phase,1,2020,4015744,6
Batticaloa,Kallady,2,2,2,51,1,True,True,Well,Single phase,1,1992,3644363,34
Hambantota,Hambantota Town,4,2,1,35,2,True,True,Both,Three phase,2,2023,5631152,3
Galle,Galle Fort,5,3,2,46,2,False,True,Both,Three phase,2,1989,8872530,37
Badulla,Bandarawela,11,3,2,164,0,False,False,Well,Three phase,1,1999,15030156,27
Badulla,Hali Ela,32,5,4,250,2,False,False,Pipe-borne,Single phase,3,2008,34851190,18
Mannar,Mannar Central,2,3,3,35,1,False,False,Pipe-borne,Three phase,1,2016,3544000,10
Mullaitivu,Mullaitivu Central,2,1,1,42,0,False,True,Both,Three phase,1,2006,2793708,20
Matara,Weligama,6,1,1,96,0,False,False,Pipe-borne,Single phase,1,2013,9137794,13
Anuradhapura,Madawachchiya,2,3,3,35,1,True,False,Well,Three phase,2,2000,4344632,26
Badulla,Bandarawela,5,3,2,52,0,True,True,Pipe-borne,Single phase,1,1986,6040618,40
Anuradhapura,New Town,15,5,4,224,1,True,False,Well,Single phase,3,2021,26506038,5
Puttalam,Puttalam Central,14,6,5,199,2,True,True,Well,Single phase,3,1993,18425426,33
Colombo,Kollupitiya,6,2,2,88,0,True,True,Pipe-borne,Single phase,1,2003,18406838,23
Gampaha,Negombo,5,1,1,54,0,False,False,Both,Single phase,1,2004,9000182,22
Kilinochchi,Kilinochchi Central,9,4,3,141,0,False,True,Well,Single phase,2,1986,11013826,40
Vavuniya,Vavuniya Central,7,3,2,55,0,False,True,Well,Single phase,2,2025,7964204,1
Vavuniya,Vavuniya Central,6,2,1,66,1,True,True,Both,Single phase,1,1996,7961621,30
Hambantota,Tangalle,40,6,5,250,2,True,True,Both,Three phase,2,2023,50821296,3
Galle,Hikkaduwa,14,2,1,124,1,True,True,Both,Single phase,1,2011,25368412,15
Ampara,Ampara Central,8,2,2,66,0,True,False,Well,Three phase,1,1993,7623704,33
Vavuniya,Vavuniya Central,17,7,5,121,1,True,True,Pipe-borne,Three phase,1,2019,16464471,7
Monaragala,Monaragala Central,25,7,5,250,1,False,False,Pipe-borne,Three phase,2,1991,28261449,35
Matara,Weligama,20,5,4,250,1,True,True,Well,Single phase,2,1998,26220961,28
Monaragala,Monaragala Central,9,4,3,101,1,True,False,Pipe-borne,Three phase,2,2022,9889116,4
Matale,Matale Central,10,3,2,94,2,True,False,Both,Three phase,1,2011,11374826,15
Puttalam,Puttalam Central,29,6,5,220,1,False,True,Pipe-borne,Single phase,3,2016,35091814,10
Colombo,Borella,17,7,5,200,1,True,True,Both,Single phase,2,1996,56039879,30
Kurunegala,Polgahawela,7,4,3,35,0,False,False,Well,Three phase,1,1988,4887995,38
Ratnapura,Kuruwita,9,4,4,87,0,False,False,Pipe-borne,Single phase,1,2001,9898488,25
Colombo,Narahenpita,12,5,5,138,3,False,False,Pipe-borne,Single phase,2,2023,37301164,3
Ampara,Ampara Central,17,4,4,198,2,True,False,Both,Single phase,2,1987,18025696,39
Gampaha,Gampaha Town,4,1,1,35,1,False,False,Well,Single phase,1,2020,6955367,6
Mullaitivu,Mullaitivu Central,10,3,3,122,1,False,True,Both,Single phase,2,2009,11476157,17
Kalutara,Panadura,6,3,2,85,2,True,False,Well,Single phase,2,2013,12586642,13
Anuradhapura,Madawachchiya,16,6,5,168,2,True,True,Both,Three phase,1,1985,15292881,41
Kandy,Peradeniya,24,6,5,227,2,False,False,Pipe-borne,Single phase,2,1996,37512456,30
Trincomalee,China Bay,10,5,5,80,1,True,True,Well,Three phase,1,2002,9670442,24
Hambantota,Hambantota Town,11,4,3,105,0,False,False,Both,Single phase,1,2014,10390303,12
Badulla,Badulla Town,11,3,3,124,2,False,False,Well,Single phase,1,2013,11902058,13
Monaragala,Monaragala Central,10,5,4,62,1,True,False,Pipe-borne,Three phase,2,1988,9886463,38
Matara,Nupe,5,2,1,41,1,False,True,Both,Single phase,1,2006,5510359,20
Kalutara,Kalutara North,11,6,5,81,1,True,True,Both,Three phase,1,2006,15395298,20
Kalutara,Wadduwa,4,1,1,35,0,True,False,Both,Three phase,1,1998,5440127,28
Monaragala,Monaragala Central,31,7,5,250,3,False,True,Well,Three phase,3,1999,30569317,27
Matara,Matara Town,9,4,3,80,3,True,True,Well,Single phase,1,2007,11000594,19
Badulla,Hali Ela,4,2,2,52,1,True,False,Both,Single phase,1,1995,4522874,31
Anuradhapura,Nuwaragam Palatha,4,1,1,35,2,True,False,Well,Three phase,2,1990,5417912,36
Trincomalee,Nilaveli,25,6,5,239,3,False,True,Well,Single phase,3,1990,31074397,36
Jaffna,Kokuvil,11,3,3,79,0,True,True,Both,Single phase,1,2016,13040933,10
Mullaitivu,Mullaitivu Central,2,2,1,35,1,False,False,Both,Single phase,1,2021,2893356,5
Ampara,Ampara Central,19,6,5,145,1,False,False,Well,Three phase,2,1985,15056104,41
Vavuniya,Vavuniya Central,26,7,5,220,1,False,True,Both,Single phase,3,2010,24746311,16
Matara,Nupe,8,3,2,92,0,True,False,Both,Three phase,1,1986,10341836,40
Kalutara,Beruwala,20,6,5,155,3,True,False,Both,Single phase,1,2023,25142042,3
Vavuniya,Vavuniya Central,16,6,5,102,2,False,False,Well,Three phase,1,1991,12400615,35
Mullaitivu,Mullaitivu Central,11,3,2,125,0,False,False,Both,Single phase,2,2014,8916475,12
Monaragala,Monaragala Central,43,5,5,250,2,False,False,Pipe-borne,Single phase,3,1993,32955754,33
Kilinochchi,Kilinochchi Central,7,2,1,88,0,True,False,Both,Single phase,2,2001,6065694,25
Jaffna,Kokuvil,4,1,1,35,1,False,True,Both,Single phase,1,1996,6731128,30
Kilinochchi,Kilinochchi Central,11,2,2,78,2,True,True,Pipe-borne,Three phase,1,2021,10147290,5
Mullaitivu,Mullaitivu Central,11,4,3,148,2,False,False,Pipe-borne,Three phase,1,2000,9260735,26
Colombo,Narahenpita,2,3,2,43,0,False,False,Both,Three phase,1,1989,7583032,37
Kurunegala,Kurunegala Town,4,2,1,50,1,False,False,Well,Three phase,2,2012,6035679,14
Kegalle,Kegalle Central,6,1,1,43,0,True,False,Pipe-borne,Three phase,1,1992,6398341,34
Kurunegala,Melsiripura,4,1,1,67,1,False,False,Well,Three phase,1,1990,4082446,36
Mannar,Mannar Central,5,1,1,36,0,False,True,Pipe-borne,Single phase,1,2017,4990020,9
Kandy,Kandy City,16,6,5,193,3,True,False,Well,Single phase,2,1988,26671688,38
Mannar,Mannar Central,8,3,3,116,0,False,True,Both,Single phase,1,2006,7401840,20
Hambantota,Ambalantota,14,5,5,186,3,True,False,Well,Three phase,3,2005,20493937,21
Ampara,Ampara Central,15,5,5,128,3,True,True,Well,Single phase,1,2025,17280492,1
Colombo,Dehiwala,2,2,1,35,0,True,True,Well,Single phase,1,2016,7194370,10
Ratnapura,Ratnapura Town,28,6,5,250,2,True,False,Well,Single phase,2,2011,34093467,15
Trincomalee,Nilaveli,10,3,2,64,1,False,True,Well,Three phase,2,1987,12097545,39
Nuwara Eliya,Nuwara Eliya Central,6,3,2,35,0,False,False,Both,Three phase,2,2010,8256982,16
Nuwara Eliya,Nuwara Eliya Central,14,7,5,194,3,False,False,Well,Three phase,2,2018,32985087,8
Galle,Galle Fort,24,7,5,250,1,True,True,Well,Three phase,3,2025,62010834,1
Gampaha,Negombo,33,6,5,250,1,False,False,Pipe-borne,Single phase,2,1990,55097533,36
Matale,Matale Central,11,4,4,57,0,True,True,Pipe-borne,Three phase,2,2007,9307178,19
Hambantota,Ambalantota,9,4,4,53,2,True,True,Pipe-borne,Three phase,1,2001,9574122,25
Ampara,Ampara Central,6,3,2,80,2,True,True,Both,Three phase,1,2004,8916571,22
Monaragala,Monaragala Central,9,4,4,94,1,False,False,Pipe-borne,Three phase,1,2017,9733617,9
Badulla,Hali Ela,14,5,5,101,2,False,True,Pipe-borne,Three phase,1,2023,16795033,3
Gampaha,Gampaha Town,7,3,3,95,1,False,True,Pipe-borne,Single phase,2,1993,11727477,33
Polonnaruwa,Polonnaruwa Central,18,5,4,217,1,False,False,Pipe-borne,Single phase,2,2006,22190456,20
Kilinochchi,Kilinochchi Central,3,3,2,35,0,True,False,Both,Three phase,1,2021,2574628,5
Kurunegala,Polgahawela,4,2,1,35,0,False,False,Both,Single phase,1,2014,5145574,12
Ratnapura,Kuruwita,32,6,5,250,1,False,True,Pipe-borne,Single phase,3,2014,51909473,12
Mannar,Mannar Central,7,2,1,81,0,False,True,Pipe-borne,Three phase,2,1995,5041571,31
Mullaitivu,Mullaitivu Central,3,1,1,35,0,True,True,Both,Three phase,1,2012,3227295,14
Matale,Matale Central,29,7,5,235,3,True,False,Pipe-borne,Three phase,3,1999,26545291,27
Trincomalee,Nilaveli,25,7,5,219,1,True,False,Both,Three phase,3,2009,34700592,17
Nuwara Eliya,Nuwara Eliya Central,6,3,2,35,0,False,True,Both,Single phase,2,1990,11660016,36
Polonnaruwa,Polonnaruwa Central,15,5,5,135,1,False,False,Both,Three phase,2,2000,14323071,26
Monaragala,Monaragala Central,22,7,5,250,2,True,True,Well,Three phase,3,2016,28460862,10
Kegalle,Kegalle Central,24,6,5,218,2,True,True,Well,Three phase,3,2007,28102955,19
Gampaha,Kadawatha,4,3,3,57,0,False,False,Pipe-borne,Three phase,1,2002,7910756,24
Nuwara Eliya,Nuwara Eliya Central,12,5,4,151,0,True,True,Well,Three phase,1,1993,27385515,33
Kegalle,Kegalle Central,20,6,5,185,3,False,True,Both,Three phase,3,2003,23992612,23
Matara,Nupe,14,6,5,176,3,True,False,Both,Three phase,1,1985,21170836,41
Polonnaruwa,Polonnaruwa Central,11,4,4,78,0,True,True,Both,Single phase,1,1996,9516879,30
Kurunegala,Kurunegala Town,22,5,4,243,2,True,True,Well,Three phase,2,2015,30615974,11
Mannar,Mannar Central,3,2,2,35,0,True,False,Both,Single phase,1,2018,3274664,8
Monaragala,Monaragala Central,9,3,3,117,3,False,False,Pipe-borne,Single phase,2,1991,9514341,35
Nuwara Eliya,Nuwara Eliya Central,7,1,1,100,2,False,True,Pipe-borne,Single phase,1,1985,19722150,41
Matale,Matale Central,2,2,1,35,0,True,False,Both,Single phase,1,2013,4188984,13
Kegalle,Kegalle Central,8,4,4,103,0,False,False,Pipe-borne,Single phase,2,2000,9784241,26
Ratnapura,Pelmadulla,5,2,2,69,2,True,False,Well,Single phase,1,2012,6378516,14
Badulla,Bandarawela,3,2,2,42,0,True,True,Pipe-borne,Single phase,2,2011,4522624,15
Mannar,Mannar Central,19,4,4,138,1,True,True,Pipe-borne,Single phase,1,2025,16189486,1
Mullaitivu,Mullaitivu Central,15,6,5,162,2,False,False,Both,Three phase,3,1985,13950785,41
Monaragala,Monaragala Central,9,2,2,128,0,True,False,Pipe-borne,Single phase,1,2001,7462978,25
Galle,Karapitiya,7,2,2,63,2,True,True,Pipe-borne,Single phase,1,2011,10146079,15
Polonnaruwa,Polonnaruwa Central,10,3,2,105,0,True,False,Both,Single phase,1,2003,10401763,23
Matara,Akurugoda,23,6,5,250,1,False,False,Pipe-borne,Three phase,2,2002,29190170,24
Mannar,Mannar Central,12,5,4,148,1,False,False,Well,Three phase,1,2018,12259903,8
Gampaha,Wattala,3,1,1,49,0,False,True,Well,Single phase,1,2021,5925532,5
Batticaloa,Kallady,10,4,3,111,2,True,True,Pipe-borne,Three phase,1,2008,15767326,18
Matale,Matale Central,20,5,5,231,1,True,False,Pipe-borne,Three phase,3,2016,22650807,10
Ratnapura,Pelmadulla,7,2,1,67,1,False,True,Both,Single phase,2,2012,9538953,14
Hambantota,Hambantota Town,3,2,1,35,1,True,True,Pipe-borne,Single phase,1,2001,4745861,25
Hambantota,Ambalantota,5,2,2,35,0,False,False,Both,Three phase,1,2014,5840593,12
Nuwara Eliya,Nuwara Eliya Central,9,5,4,105,0,False,True,Well,Three phase,2,1987,16564535,39
Matara,Matara Town,5,2,2,85,2,True,False,Pipe-borne,Single phase,1,1990,7762706,36
Matara,Akurugoda,17,6,5,138,1,False,False,Pipe-borne,Three phase,1,2013,17169115,13
Jaffna,Chunnakam,4,1,1,35,1,False,True,Pipe-borne,Single phase,2,2005,6882511,21
Badulla,Hali Ela,12,4,4,136,0,True,True,Pipe-borne,Single phase,2,1992,15372813,34
Kandy,Katugastota,24,6,5,250,1,False,False,Well,Three phase,3,2011,46860212,15
Kegalle,Kegalle Central,11,5,5,112,1,True,True,Pipe-borne,Single phase,1,2020,10860442,6
Jaffna,Kokuvil,6,4,3,60,0,False,True,Pipe-borne,Single phase,1,2018,11965688,8
Jaffna,Chunnakam,5,3,3,71,0,True,True,Both,Single phase,2,1992,6993592,34
Nuwara Eliya,Nuwara Eliya Central,3,2,1,58,1,False,True,Pipe-borne,Single phase,2,1985,8715379,41
Mannar,Mannar Central,10,4,3,135,1,True,False,Pipe-borne,Single phase,1,2015,11480951,11
Anuradhapura,New Town,22,6,5,243,3,True,False,Pipe-borne,Three phase,2,2014,27911273,12
Colombo,Wellawatte,15,5,4,188,3,True,True,Well,Single phase,2,1996,45875272,30
Monaragala,Monaragala Central,13,4,4,171,3,True,True,Well,Three phase,1,1990,13121906,36
Mannar,Mannar Central,4,2,1,35,0,True,False,Well,Single phase,2,2016,4810461,10
Polonnaruwa,Polonnaruwa Central,45,6,5,250,2,False,True,Both,Three phase,3,1998,46106948,28
Kandy,Peradeniya,31,7,5,250,2,True,True,Pipe-borne,Single phase,3,1992,59363007,34
Puttalam,Puttalam Central,15,6,5,148,2,True,True,Pipe-borne,Single phase,2,1997,15716955,29
Kilinochchi,Kilinochchi Central,13,3,2,120,3,True,True,Well,Single phase,1,1999,11986767,27
Kandy,Gatambe,19,6,5,227,2,False,False,Both,Single phase,2,2018,40709309,8
Gampaha,Gampaha Town,2,2,2,45,0,False,True,Well,Single phase,2,2021,5107617,5
Kandy,Tennekumbura,17,6,5,242,1,False,True,Pipe-borne,Single phase,3,2001,32874311,25
Batticaloa,Kallady,6,1,1,60,0,True,False,Pipe-borne,Three phase,2,2018,8154328,8
Kegalle,Kegalle Central,4,2,1,63,2,True,True,Both,Three phase,1,2018,7272243,8
Colombo,Rajagiriya,7,2,1,107,1,False,False,Pipe-borne,Single phase,1,2002,25721898,24
Galle,Galle Fort,13,4,3,134,1,True,True,Pipe-borne,Single phase,1,1994,23103686,32
Nuwara Eliya,Nuwara Eliya Central,21,7,5,230,2,False,True,Both,Three phase,2,2012,52950055,14
Trincomalee,Uppuveli,2,3,3,35,2,False,False,Both,Single phase,1,2017,4057602,9
Ratnapura,Kuruwita,19,5,5,186,1,True,False,Well,Single phase,1,1993,19343410,33
Kilinochchi,Kilinochchi Central,6,2,1,66,2,True,False,Pipe-borne,Single phase,1,1988,5340124,38
Polonnaruwa,Polonnaruwa Central,8,3,2,81,2,True,False,Both,Single phase,1,2016,11301735,10
Mullaitivu,Mullaitivu Central,4,2,2,35,1,False,True,Pipe-borne,Single phase,1,2022,4438832,4
Monaragala,Monaragala Central,7,3,2,60,0,True,False,Pipe-borne,Single phase,1,1989,5279415,37
Kalutara,Kalutara North,27,5,4,250,3,False,False,Both,Single phase,3,2006,46911538,20
Nuwara Eliya,Nuwara Eliya Central,2,1,1,35,1,True,True,Pipe-borne,Single phase,1,2011,7585659,15
Matara,Akurugoda,35,6,5,250,2,False,True,Well,Three phase,2,1993,54945832,33
Matale,Matale Central,11,5,4,94,0,False,True,Both,Single phase,2,2020,12681894,6
Matara,Weligama,41,7,5,250,1,True,True,Both,Single phase,2,2000,47184701,26
Ratnapura,Ratnapura Town,8,3,2,124,1,False,False,Both,Three phase,1,2022,11296046,4
Kandy,Gatambe,10,3,2,162,1,True,True,Well,Single phase,2,1991,19570708,35
Puttalam,Puttalam Central,9,2,1,70,1,False,True,Both,Three phase,1,2024,10293240,2
Ratnapura,Kuruwita,10,3,2,151,1,True,False,Pipe-borne,Three phase,1,2014,15917075,12
Ampara,Ampara Central,7,1,1,92,0,True,False,Well,Single phase,1,1992,5628976,34
Mannar,Mannar Central,4,2,1,55,2,False,False,Both,Single phase,1,2011,4403141,15
Ampara,Ampara Central,7,3,2,35,0,True,False,Pipe-borne,Single phase,2,1989,6457426,37
Kurunegala,Pannala,2,2,1,35,1,False,True,Well,Three phase,2,2001,4149752,25
Nuwara Eliya,Nuwara Eliya Central,2,3,3,35,0,False,True,Both,Three phase,1,2001,6918904,25
Kegalle,Kegalle Central,15,5,4,136,1,False,False,Both,Single phase,1,1993,14238071,33
Hambantota,Ambalantota,14,7,5,169,1,True,True,Pipe-borne,Three phase,2,2007,17847419,19
Anuradhapura,Nuwaragam Palatha,7,3,3,90,0,False,False,Pipe-borne,Three phase,1,2017,8013911,9
Vavuniya,Vavuniya Central,17,5,4,159,3,False,False,Pipe-borne,Three phase,2,2021,18491909,5
Kalutara,Kalutara North,32,6,5,236,2,False,True,Both,Single phase,2,2011,48231557,15
Kegalle,Kegalle Central,12,3,2,115,1,True,False,Pipe-borne,Single phase,1,1994,12058156,32
Mannar,Mannar Central,15,6,5,113,1,True,True,Both,Three phase,1,2021,11761487,5
Kegalle,Kegalle Central,14,4,3,125,2,False,True,Well,Three phase,1,1996,17088794,30
Ampara,Ampara Central,10,4,3,92,2,True,False,Well,Three phase,1,1996,7859612,30
Jaffna,Nallur,2,1,1,38,1,False,True,Well,Single phase,1,2008,5499462,18
Polonnaruwa,Polonnaruwa Central,11,3,3,97,0,False,False,Well,Three phase,2,1999,9441501,27
Vavuniya,Vavuniya Central,8,4,4,44,1,False,False,Pipe-borne,Single phase,1,2019,6524205,7
Galle,Galle Fort,12,4,3,123,1,True,True,Both,Single phase,1,2001,21845727,25
Batticaloa,Eravur,3,3,2,35,0,True,True,Both,Three phase,1,2023,4449759,3
Polonnaruwa,Polonnaruwa Central,4,1,1,58,2,False,False,Pipe-borne,Single phase,2,1995,6597130,31
Anuradhapura,Nuwaragam Palatha,7,3,2,73,1,True,False,Both,Three phase,2,1995,6077072,31
Mullaitivu,Mullaitivu Central,7,3,2,116,1,False,False,Pipe-borne,Three phase,1,1996,6446228,30
Vavuniya,Vavuniya Central,2,1,1,35,1,False,False,Pipe-borne,Single phase,1,2005,3995861,21
Vavuniya,Vavuniya Central,19,6,5,182,1,False,True,Pipe-borne,Single phase,3,2014,24571401,12
Badulla,Hali Ela,15,4,4,134,1,False,False,Well,Three phase,2,1993,15398468,33
Matara,Matara Town,4,3,2,49,1,True,True,Both,Single phase,1,2008,6141087,18
Matale,Matale Central,8,4,4,71,1,True,False,Well,Three phase,1,1992,7362121,34
Vavuniya,Vavuniya Central,4,1,1,60,0,True,True,Pipe-borne,Single phase,1,2014,4119196,12
Hambantota,Hambantota Town,10,3,2,40,1,False,False,Both,Single phase,1,2013,9734786,13
Kandy,Peradeniya,6,2,1,74,0,True,False,Well,Single phase,1,2022,11734390,4
Nuwara Eliya,Nuwara Eliya Central,2,2,2,35,0,False,True,Both,Single phase,1,2004,6928957,22
Kalutara,Panadura,16,6,5,156,1,False,False,Both,Three phase,1,2005,18329405,21
Gampaha,Wattala,10,4,3,114,0,False,False,Pipe-borne,Three phase,2,1986,16860962,40
Ampara,Ampara Central,8,3,2,62,0,False,False,Pipe-borne,Single phase,1,2011,7803129,15
Nuwara Eliya,Nuwara Eliya Central,2,1,1,41,0,True,True,Well,Single phase,1,1994,7578983,32
Kurunegala,Polgahawela,13,5,4,136,1,True,True,Pipe-borne,Three phase,1,1997,13482248,29
Ratnapura,Ratnapura Town,7,3,2,97,2,False,True,Both,Single phase,2,1985,9141384,41
Mullaitivu,Mullaitivu Central,18,6,5,191,1,False,False,Both,Three phase,2,2007,15922553,19
Matara,Matara Town,7,1,1,97,3,False,True,Well,Single phase,1,1994,13172689,32
Anuradhapura,Nuwaragam Palatha,7,4,3,70,1,True,False,Pipe-borne,Three phase,1,1988,9047482,38
Nuwara Eliya,Nuwara Eliya Central,10,4,3,74,2,False,False,Both,Three phase,1,2023,18470803,3
Mullaitivu,Mullaitivu Central,12,4,4,67,1,True,True,Both,Single phase,1,2019,8617410,7
Puttalam,Puttalam Central,2,2,1,35,0,True,False,Both,Single phase,1,2010,3697645,16
Trincomalee,Uppuveli,32,5,4,250,2,False,False,Well,Single phase,2,1988,35230293,38
Colombo,Rajagiriya,33,6,5,250,1,True,True,Pipe-borne,Three phase,3,2025,120703207,1
Badulla,Hali Ela,6,2,1,89,1,True,False,Pipe-borne,Single phase,2,2008,8902825,18
Galle,Unawatuna,9,3,2,108,1,False,True,Well,Single phase,2,2016,15382406,10
Anuradhapura,Madawachchiya,7,2,1,76,0,True,False,Both,Single phase,2,2005,8030645,21
Jaffna,Nallur,14,4,3,131,1,True,False,Both,Single phase,1,2005,16259700,21
Mannar,Mannar Central,13,5,5,110,1,False,False,Pipe-borne,Single phase,1,2007,11391123,19
Monaragala,Monaragala Central,23,7,5,205,1,True,True,Well,Single phase,2,2006,26676209,20
Ampara,Ampara Central,12,4,4,140,1,False,True,Well,Single phase,1,2019,15081588,7
Kilinochchi,Kilinochchi Central,13,6,5,81,2,True,False,Pipe-borne,Single phase,2,1986,11406590,40
Monaragala,Monaragala Central,11,5,4,97,0,False,False,Well,Three phase,2,2017,10881553,9
Mullaitivu,Mullaitivu Central,8,3,3,78,2,False,False,Well,Single phase,2,2022,9313031,4
Galle,Unawatuna,12,5,4,109,0,True,True,Well,Three phase,1,2002,17413259,24
Puttalam,Puttalam Central,14,4,3,115,3,False,True,Well,Single phase,1,2014,13278104,12
Kegalle,Kegalle Central,4,2,1,61,0,True,True,Well,Three phase,2,2011,3551484,15
Galle,Galle Fort,4,3,2,36,0,False,True,Well,Three phase,2,2012,5611955,14
Vavuniya,Vavuniya Central,12,4,4,102,0,True,False,Both,Single phase,1,2003,12203549,23
Puttalam,Puttalam Central,23,5,4,250,1,True,True,Pipe-borne,Three phase,2,1996,33861156,30
Kurunegala,Polgahawela,7,2,1,49,1,False,True,Pipe-borne,Single phase,1,2004,8729490,22
Ratnapura,Pelmadulla,8,2,1,109,0,True,False,Well,Single phase,2,1995,7479064,31
Ampara,Ampara Central,2,3,2,35,0,True,True,Well,Three phase,1,1994,2433161,32
Trincomalee,Uppuveli,28,7,5,250,2,True,True,Well,Single phase,2,2013,43049482,13
Ampara,Ampara Central,12,3,2,164,1,True,False,Pipe-borne,Single phase,2,1987,14280215,39
Monaragala,Monaragala Central,5,4,3,73,1,True,False,Both,Single phase,2,1995,7255968,31
Jaffna,Nallur,8,4,4,77,1,True,True,Well,Three phase,2,1987,12272952,39
Polonnaruwa,Polonnaruwa Central,2,2,1,35,1,False,True,Both,Three phase,1,1990,3549468,36
Monaragala,Monaragala Central,11,4,4,135,0,True,True,Well,Three phase,1,2016,13469117,10
Matara,Weligama,4,1,1,36,1,False,False,Pipe-borne,Three phase,2,1987,6614089,39
Colombo,Nugegoda,2,4,3,43,1,True,True,Well,Three phase,1,2010,10000468,16
Hambantota,Hambantota Town,13,5,5,102,2,True,False,Both,Three phase,1,1994,9945790,32
Badulla,Hali Ela,6,2,1,50,0,False,False,Both,Three phase,2,2008,6398284,18
Kegalle,Kegalle Central,13,4,3,143,1,True,True,Both,Three phase,1,1997,12941251,29
Mullaitivu,Mullaitivu Central,2,2,2,36,0,True,False,Well,Single phase,2,1985,2451527,41
Ratnapura,Pelmadulla,12,7,5,183,0,False,True,Well,Three phase,1,1992,15374143,34
Hambantota,Hambantota Town,7,3,2,69,1,True,True,Both,Three phase,1,2008,8946676,18
Jaffna,Jaffna Town,17,6,5,164,2,True,True,Both,Single phase,3,2004,28445695,22
Batticaloa,Kallady,2,2,1,35,1,True,False,Both,Single phase,1,2019,3399048,7
Kilinochchi,Kilinochchi Central,12,3,3,133,2,True,False,Both,Single phase,1,2007,11980104,19
Nuwara Eliya,Nuwara Eliya Central,19,6,5,132,1,True,True,Both,Single phase,2,2009,42583717,17
Polonnaruwa,Polonnaruwa Central,7,2,2,60,0,True,False,Pipe-borne,Three phase,2,1985,5642590,41
Ratnapura,Pelmadulla,26,6,5,230,1,True,True,Well,Single phase,2,2018,32588893,8
Nuwara Eliya,Nuwara Eliya Central,6,3,2,85,1,True,False,Both,Three phase,1,2019,15512645,7
Puttalam,Puttalam Central,12,5,5,73,2,False,True,Well,Three phase,1,2021,11397998,5
Matara,Nupe,2,3,2,35,1,False,False,Pipe-borne,Single phase,2,1999,4213483,27
Polonnaruwa,Polonnaruwa Central,19,6,5,162,2,False,False,Well,Single phase,2,2019,19107579,7
Matale,Matale Central,25,7,5,250,1,True,False,Well,Three phase,3,1990,33491351,36
Vavuniya,Vavuniya Central,15,5,4,126,2,True,False,Both,Single phase,1,2016,13736020,10
Mullaitivu,Mullaitivu Central,5,2,1,44,1,True,False,Pipe-borne,Single phase,1,1987,4214111,39
Hambantota,Hambantota Town,5,3,2,51,1,True,False,Well,Three phase,2,2003,5379382,23
Anuradhapura,Nuwaragam Palatha,23,7,5,247,2,True,True,Both,Three phase,3,2024,34393065,2
Jaffna,Kokuvil,18,6,5,82,3,False,True,Both,Single phase,1,1987,23906322,39
Anuradhapura,New Town,4,2,1,35,2,False,False,Pipe-borne,Single phase,1,2008,4794444,18
Hambantota,Hambantota Town,2,1,1,35,1,True,True,Well,Three phase,1,1995,2858703,31
